iter,conv.weight_ave,fc1.weight_ave,fc2.weight_ave,fc_action1.weight_ave,fc_action2.weight_ave,fc_value1.weight_ave,fc_value2.weight_ave,conv.weight_max,fc1.weight_max,fc2.weight_max,fc_action1.weight_max,fc_action2.weight_max,fc_value1.weight_max,fc_value2.weight_max,conv.weight_min,fc1.weight_min,fc2.weight_min,fc_action1.weight_min,fc_action2.weight_min,fc_value1.weight_min,fc_value2.weight_min
55,0.009690600447356701,0.002620896091684699,0.005403073970228434,0.002301260130479932,0.047179557383060455,0.032528430223464966,0.12031205743551254,0.03343364968895912,0.02774875983595848,0.03891528397798538,0.026761360466480255,0.40592318773269653,0.2669442296028137,0.24941331148147583,7.896916940808296e-06,2.2526364773511887e-08,0.0,0.0,0.0,0.0,0.0
56,0.011120682582259178,0.00317429774440825,0.006737939547747374,0.004304480738937855,0.06439326703548431,0.04270316660404205,0.16192349791526794,0.04002095013856888,0.027012858539819717,0.06163928285241127,0.06210010498762131,0.4563539922237396,0.32619261741638184,0.3599596619606018,0.0004286585608497262,1.2771124602295458e-07,0.0,0.0,0.0,0.0,0.0
57,0.008221602067351341,0.0017414221074432135,0.0014893754851073027,0.0030029560439288616,0.027871018275618553,0.004490332677960396,0.020590800791978836,0.026539606973528862,0.012727374210953712,0.010334711521863937,0.06256044656038284,0.24637293815612793,0.03893512487411499,0.04211961105465889,0.00018764694686979055,9.522773325443268e-08,0.0,0.0,0.0,0.0,0.0
58,0.008459256961941719,0.0020693340338766575,0.003126403084024787,0.003909509629011154,0.036298975348472595,0.015593345277011395,0.04291541501879692,0.03639291599392891,0.013796649873256683,0.03104836866259575,0.06496851146221161,0.2839702069759369,0.1756303459405899,0.08792965114116669,0.0005724963266402483,3.5129778552800417e-07,0.0,0.0,0.0,0.0,0.0
59,0.008899293839931488,0.0021498326677829027,0.0024869826156646013,0.005884112790226936,0.05330413579940796,0.003813721239566803,0.01156256441026926,0.02908998169004917,0.01679522544145584,0.023343952372670174,0.11110188812017441,0.5116627812385559,0.045849889516830444,0.033618032932281494,0.00030626123771071434,2.3111351765692234e-06,0.0,0.0,0.0,0.0,0.0
60,0.010976172052323818,0.002212082501500845,0.0018961873138323426,0.003648238256573677,0.061698418110609055,0.004849067889153957,0.022439001128077507,0.04990025982260704,0.0175117626786232,0.017935963347554207,0.057509131729602814,0.4629025161266327,0.06358901411294937,0.04860057309269905,0.0003672472666949034,5.663605406880379e-08,0.0,0.0,0.0,0.0,0.0
61,0.007044245954602957,0.00163674121722579,0.002920326543971896,0.0077801477164030075,0.07209017872810364,0.013383015990257263,0.03884304687380791,0.028567584231495857,0.010641297325491905,0.03572063148021698,0.1362186223268509,0.416828989982605,0.1338597983121872,0.07743653655052185,9.684747783467174e-05,1.5868572518229485e-06,0.0,0.0,0.0,0.0,0.0
62,0.019625836983323097,0.008547904901206493,0.020907487720251083,0.006021181587129831,0.07129929214715958,0.12525448203086853,0.406477689743042,0.06057807803153992,0.050276018679142,0.16572704911231995,0.10239352285861969,0.5939520001411438,1.0398942232131958,0.8849657773971558,0.0001926724798977375,3.9779115468263626e-07,0.0,0.0,0.0,0.0,0.0
63,0.01434626616537571,0.0029087387956678867,0.004504782613366842,0.009448953904211521,0.06982161104679108,0.023750172927975655,0.06986620277166367,0.03848893567919731,0.021303771063685417,0.04754721000790596,0.1089978814125061,0.5814518332481384,0.19610771536827087,0.12350893765687943,0.0005005281418561935,2.218817826360464e-06,0.0,0.0,0.0,0.0,0.0
64,0.010455888696014881,0.0026769370306283236,0.002263805130496621,0.007485715672373772,0.09562695026397705,0.0036174894776195288,0.01223770435899496,0.049098774790763855,0.026982253417372704,0.01754831150174141,0.1144755408167839,0.5654809474945068,0.026846520602703094,0.023042980581521988,0.0001510782167315483,7.790513336658478e-07,0.0,0.0,0.0,0.0,0.0
65,0.010105465538799763,0.005359560251235962,0.01258913241326809,0.0059894719161093235,0.06687279045581818,0.07600224018096924,0.24227792024612427,0.0425117090344429,0.030281588435173035,0.10260593891143799,0.09618455171585083,0.6884300708770752,0.6061081290245056,0.44285285472869873,7.059916970320046e-05,1.3091950677335262e-05,0.0,0.0,0.0,0.0,0.0
